ClassID,GenType,PosX,PosY,PosZ,Direction,Name
1,1,2292.302,511.4362,-15.749737,0,
2,2,2060.7407,511.43616,-272.3608,0,
3,2,1803.3615,511.4362,37.006035,0,
4,2,2157.0835,511.4362,168.34543,0,
5,2,2000.2305,511.43616,-864.3505,0,
6,2,1607.9856,511.4362,-1049.3384,0,
7,2,1224.8217,511.43616,-653.28705,0,
8,2,1437.5398,511.4362,-198.7044,0,
9,2,1373.7316,511.43616,343.59323,0,
10,2,1388.8424,511.4362,798.47125,0,
11,2,1812.9812,511.4362,1066.6154,0,
12,2,2073.405,511.43616,657.23114,0,
13,2,2141.5942,511.4362,-3535.1052,0,
14,2,1944.146,511.4362,-3217.1636,0,
15,2,1719.9059,511.4362,-3486.2598,0,
16,2,1596.1514,511.4362,-3021.2122,0,
17,2,2292.7769,511.4362,-3050.3787,0,
18,2,109.71492,511.43616,-851.1307,0,
19,2,3.0782318,511.43616,-1162.9082,0,
20,2,-267.00464,511.43616,-850.6933,0,
21,2,-565.8563,511.43616,-1102.4515,0,
22,2,-559.775,511.43616,-354.84897,0,
23,2,-366.0784,511.43616,-100.61703,0,
24,2,-581.1566,511.43616,260.02856,0,
25,2,-597.71124,511.43616,843.40546,0,
26,2,-386.68454,511.43616,1129.0065,0,
27,2,-124.89149,511.43616,849.113,0,
28,2,122.58698,511.43616,996.49316,0,
29,2,-1177.9989,565.8043,-198.06256,0,
30,2,-1062.934,565.8043,256.1076,0,
31,2,-1510.9137,565.8043,241.48834,0,
32,2,-1603.1367,565.8043,-240.89505,0,
33,3,1033.34,511.4362,-30.520874,0,
34,4,-1268.7716,511.43616,-3618.6682,0,
35,4,-1258.8413,511.43616,-2461.1484,0,
36,4,193.91846,511.43616,-3853.4333,0,
37,4,1452.8982,511.43616,-3233.9663,0,
38,5,-959.696,556.9791,-894.2293,0,
39,5,-1874.0676,565.8043,-300.20557,0,
40,5,-979.9939,556.9791,1048.2623,0,
41,6,-772.7341,511.43616,-3793.784,-90,
42,6,-1248.8805,511.43616,-3801.171,-90,
43,6,-1251.6017,511.43616,-3335.8374,-90,
44,6,-773.61487,511.43616,-3337.7124,-90,
45,7,-1002.5733,511.43616,-2433.208,-38,
46,8,-1238.585,511.43616,-2233.477,-90,
47,8,-1240.2395,511.43616,-2667.2244,-90,
48,8,-776.43524,511.43616,-2233.5415,-90,
49,8,-775.6397,511.43616,-2664.528,-90,
50,9,283.15207,511.43616,-3739.186,0,
51,10,364.7832,511.43616,-3718.9185,0,
52,11,392.186,511.43616,-3629.717,0,
53,12,468.9,511.43616,-3584.0232,0,
54,13,536.041,511.43616,-3544.3445,0,
55,14,574.39355,511.43616,-3506.6646,0,
56,15,339.13467,511.43616,-3818.342,0,
57,16,411.73938,511.43616,-3714.496,0,
58,17,476.34482,511.43616,-3803.6345,0,
59,18,483.4254,511.43616,-3739.6868,0,
60,19,527.27606,511.43616,-3780.188,0,
61,20,557.0021,511.43616,-3809.785,0,
62,21,661.9576,511.43616,-3738.2207,0,
63,24,570.1038,511.43616,-3677.1548,0,
64,25,670.72345,511.43616,-3644.944,0,
65,26,209.47623,511.43616,-3610.4539,0,
66,27,268.3564,511.43616,-3516.94,0,
67,28,333.4193,511.43616,-3607.134,0,
68,29,340.64008,511.43616,-3510.8696,0,
69,30,256.66745,511.43616,-3462.425,0,
70,31,323.0274,511.43616,-3363.1433,0,
71,32,459.37613,511.43616,-3507.8967,0,
72,33,492.43082,511.43616,-3412.8044,0,
73,34,286.48502,511.43616,-3679.861,0,
74,35,290.57214,511.43616,-3618.116,0,
75,36,401.95483,511.43616,-3568.9329,0,
76,37,394.0113,511.43616,-3512.3362,0,
77,38,313.8248,511.43616,-3436.848,0,
78,39,466.6408,511.43616,-3438.3506,0,
79,40,627.1818,511.43616,-3773.5564,0,
80,41,513.38275,511.43616,-3624.536,0,
81,42,612.5151,511.43616,-3467.8923,0,
82,43,-792.72833,511.7835,-10.524624,15,
83,44,-786.0207,511.43616,-1003.6141,22,
84,45,-790.10284,512.2956,951.6065,31,
85,46,-1160.6282,556.9791,-1002.3875,-90,
86,47,-1150.1578,556.9791,951.98834,-90,
88,54,-223.97313,511.43616,-1001.4208,0,블록 궁수
89,54,-562.76886,511.43616,-1161.3553,0,블록 궁수
90,54,-568.5765,511.43616,-891.9061,0,블록 궁수
91,54,10.816803,511.43616,-882.5221,0,블록 궁수
92,54,144.1873,511.43616,-851.6459,0,블록 궁수
93,54,-138.70692,511.4362,-1139.378,0,블록 궁수
94,54,144.4606,511.43616,-1176.198,0,블록 궁수
95,56,-592.5805,511.43616,775.48694,0,블록 마법사
96,56,-451.34512,511.43616,1061.6976,0,블록 마법사
97,56,-289.53467,511.43616,831.7294,0,블록 마법사
98,56,-123.26971,511.4361,1077.5626,0,블록 마법사
99,56,91.42944,511.43616,818.45514,0,블록 마법사
100,56,145.65497,511.43616,1056.2745,0,블록 마법사
101,50,1875.0133,511.4362,-1092.5945,0,블록 마법사
102,50,1203.188,511.4362,-514.97705,0,블록 마법사
103,50,1400.349,511.43616,-120.04523,0,블록 마법사
104,50,1238.5365,511.4362,340.76245,0,블록 마법사
105,50,1517.7504,511.4362,727.8989,0,블록 마법사
106,50,2065.262,511.4362,1058.5082,0,블록 마법사
107,49,1900.3634,511.4362,-292.21506,0,블록 궁수
108,49,2050.0735,511.4362,187.89027,0,블록 궁수
109,49,1869.7324,511.4362,-865.53973,0,블록 궁수
110,49,1510.9583,511.4361,-743.77277,0,블록 궁수
111,49,1449.6396,511.4362,-494.0124,0,블록 궁수
112,49,1465.6268,511.4362,104.88084,0,블록 궁수
113,49,1373.827,511.4362,421.94208,0,블록 궁수
114,49,1436.4681,511.4362,946.93744,0,블록 궁수
115,49,1878.5505,511.4362,790.32227,0,블록 궁수
116,51,-1368.0751,565.8043,-92.65059,0,케놀
117,51,1577.4663,511.4362,-3460.313,0,케놀
118,51,1509.5449,511.4362,-3175.4883,0,케놀
119,51,1983.7941,511.4362,-2966.8887,0,케놀
120,51,1857.2874,511.4362,-3172.982,0,케놀
121,51,1929.1592,511.43616,-3584.9573,0,케놀
122,51,2306.9895,511.4362,-3180.9587,0,케놀
123,51,2179.6887,511.4362,-3497.3154,0,케놀
124,51,2171.9504,511.4362,-2861.4917,0,케놀
125,51,1670.9794,511.4362,-2916.3035,0,케놀
131,52,1717.5756,511.4362,-748.15936,0,폰델
132,52,1200.3021,511.43616,-705.66046,0,폰델
133,52,1459.6808,511.4362,-396.21207,0,폰델
134,52,1215.5079,511.43616,-26.515614,0,폰델
135,52,1340.984,511.4362,765.4185,0,폰델
136,52,1193.6615,511.4362,1063.0511,0,폰델
137,52,2060.4387,511.4362,874.2047,0,폰델
138,52,1834.1268,511.4362,601.57886,0,폰델
139,52,2002.516,511.43616,60.794685,0,폰델
140,52,1804.5065,511.4362,-185.86313,0,폰델
141,52,1624.478,511.43616,-80.50497,0,폰델
142,52,2133.5923,511.4362,-1047.8416,0,폰델
143,52,1531.0083,511.4362,-1103.0952,0,폰델
144,52,1212.0027,511.4362,-894.66077,0,폰델
145,52,-557.5224,511.43616,-354.23434,0,폰델
146,52,-643.84485,511.43616,136.29898,0,폰델
147,52,-553.91376,511.43616,323.11624,0,폰델
148,52,-317.09882,511.43616,348.58365,0,폰델
149,52,-438.24124,511.43616,82.36246,0,폰델
150,52,-384.03488,511.43616,-239.33919,0,폰델
151,52,-617.5326,511.4362,-93.14923,0,폰델
152,55,-377.87167,511.43616,-1032.4515,0,폰델
153,55,62.97789,511.43616,-1007.2565,0,폰델
154,57,-446.7471,511.43616,944.2082,0,폰델
155,57,21.508858,511.43616,952.9035,0,폰델
164,53,982.2794,511.43616,-22.254898,0,케놀
165,51,-1710.2081,565.8043,-275.08844,0,케놀
166,51,-1686.1381,565.8043,59.89766,0,케놀
167,51,-1523.2234,565.8043,241.57669,0,케놀
168,51,-1531.3497,565.8043,-179.92116,0,케놀
169,51,-1374.5632,565.8043,-318.65457,0,케놀
170,51,-1078.5265,565.8043,-269.0581,0,케놀
171,51,-1033.3479,565.8043,-13.275028,0,케놀
172,51,-1280.1952,565.8043,320.3687,0,케놀
173,51,-1051.2072,565.8043,242.20535,0,케놀
174,51,-1746.4518,565.8043,311.28125,0,케놀
181,50,-1517.1578,565.8043,-307.3147,0,블록 마법사
182,50,-1718.65,565.8043,304.19495,0,블록 마법사
183,50,-1692.6422,565.8043,-41.630135,0,블록 마법사
184,50,-1068.5305,565.8043,240.88196,0,블록 마법사
185,50,-1318.9316,565.8043,-306.57092,0,블록 마법사
186,50,2123.333,511.43616,-724.9483,0,블록 마법사
187,50,1379.6084,511.43616,-1045.428,0,블록 마법사
188,50,1676.718,511.4362,1081.0493,0,블록 마법사
189,50,2197.082,511.4362,641.6322,0,블록 마법사
190,50,2161.2644,511.4362,-146.44034,0,블록 마법사
191,50,1858.7599,511.4362,98.85629,0,블록 마법사
192,58,1070.42,511.4362,-964.61,-179,
193,59,283.12,511.43616,992.07,0,
194,60,314.2724,511.4362,992.07,90,
195,56,-575.1294,511.43616,912.9822,0,블록 마법사
196,56,-414.1153,511.43616,860.15985,0,블록 마법사
197,56,-240.06032,511.43616,1018.9253,0,블록 마법사
198,56,2.968626,511.43616,779.6522,0,블록 마법사
199,56,51.1216,511.43616,946.48413,0,블록 마법사
200,56,-634.48395,511.43616,1102.057,0,블록 마법사
201,56,50.36403,511.43616,1193.5549,0,블록 마법사
202,56,-129.8576,511.43616,853.68976,0,블록 마법사
203,55,-567.821,511.43616,-1162.9016,0,폰델
204,55,-589.32294,511.43616,-979.7935,0,폰델
205,55,-412.97946,511.43616,-843.1064,0,폰델
206,55,-236.49248,511.43616,-1008.3723,0,폰델
207,55,-92.492676,511.43616,-1193.4469,0,폰델
208,55,-58.032017,511.43616,-868.75507,0,폰델
209,55,156.85199,511.43616,-869.08356,0,폰델
210,55,156.5238,511.43616,-1187.355,0,폰델
211,50,-1386.5735,565.8043,-113.19145,0,블록 마법사
212,50,-1330.971,565.8043,236.92462,0,블록 마법사
213,50,-1102.8081,565.8043,-9.396072,0,블록 마법사
214,50,-997.0254,565.8043,-228.69365,0,블록 마법사
215,50,-1365.4664,565.8043,49.734562,0,블록 마법사
216,50,-585.12866,511.4362,-137.14877,0,블록 마법사
