ClassID,GenType,PosX,PosY,PosZ,Direction
1,1,-841,-80,-155,-84
3,3,1296.24,-79.46,2145.48,93
4,4,1072.8,-79.46,2046.17,91
5,5,-611.6,-80.05,558.61,-77
23,9,2314,102,-722,-133
24,10,-1626,7,-712,0
26,12,1305.2,-79.46,2032.66,99
96,15,-1626.4066,7.1818132,-711.47015,0
98,17,158.74,-80.05,796.25,0
99,18,1283.33,-79.65,2141.86,0
100,19,-2149.7107,-31.622612,-167.34892,0
101,21,-814.42615,-80.049,1242.8506,0
104,23,-912.23,-80.05,2474.32,90
108,26,599.67804,-80.449005,1066.1956,0
110,28,1401.59,63.01,-1251.37,0
112,25,1417.81,63.6,-542.81,0
113,25,1570.0771,62.72429,-665.9665,0
114,25,-231.39,-6.64,-627.09,0
120,31,-979.2788,-80.049,1304.11,0
141,32,-1899.99,-80.08,848.3,0
146,33,-903.89,-80.05,86.39,0
147,33,-983.74,-80.05,469.27,0
149,33,-845.8,-80.05,803.12,0
150,33,-840.95,-80.05,1128.38,0
151,33,-677.93,-80.05,1370.45,0
152,33,-900.12,-80.05,1552.22,0
153,33,-924.52,-80.05,2049.14,0
154,33,-1455.41,-32.27,123.49,0
155,33,-1786.51,-80.08,789.9,0
156,33,-1563.94,-31.62,-34.39,0
157,33,-1989.85,-31.62,-25.12,0
158,33,-1240.39,-31.61,-177.61,0
159,33,-1565.22,7.33,-607.65,0
160,33,-1532.41,7.18,-962.68,0
161,33,-86.44,-6.64,-751.29,0
162,33,-120.02,-6.64,-561.69,0
163,33,257.52,-6.64,-562.52,0
164,33,24.23,-7.04,-122.81,0
165,33,-133.25,-80.05,559.08,0
166,33,212.23,-80.05,711.41,0
167,33,453.8,-80.05,957.94,0
168,33,849.09,-80.05,1123.12,0
169,33,1134.27,-80.05,1307.76,0
170,33,1399.26,-79.65,1843.62,0
171,33,693.53,12.44,-497.31,0
172,33,1377.77,63.09,-536.74,0
173,33,1420.22,63.01,-1395.28,0
174,33,1421.46,63.01,-1178.96,0
175,33,2125.07,102.65,-871.72,0
176,33,2452.05,106.98,-791.45,0
178,40,-1349.54,-79.19,388.84,0
179,41,174.45,-6.64,-266.38,-98
181,42,946.97,-80.05,1188.66,-22
184,43,-1256.8724,-31.481808,-251.39552,0
185,43,-1244.73,-31.61,-78.22,0
189,43,-2102.6082,-31.6227,134.18251,0
202,25,1667.337,72.439705,-812.06415,0
210,28,2374.3196,102.6496,-769.1446,0
211,28,2063.3315,102.6496,-914.9448,0
212,28,1375.2999,63.105515,-545.1735,0
214,26,361.83,-80.049,767.9234,0
216,26,658.0442,-80.049,882.8423,0
217,26,168.04506,-80.048706,649.7443,0
227,27,341.90628,-80.449005,633.9618,0
228,27,696.89905,-80.049,1148.2458,0
231,44,97.66,-6.64,-282.09,0
232,44,-879.67114,-80.049,24.26067,0
233,44,-1352.53,-75.77,348.57,0
234,44,-632.0333,-80.049,482.13196,0
235,44,-917.38,-80.05,2388.21,0
236,45,1295.6913,-79.6485,1997.747,0
237,47,-1017.13,-80.05,2085.21,0
238,17,302.01,-80.05,828.44,0
239,17,786.42,-80.05,1072.77,0
240,17,751.3,-80.05,929.61,0
241,17,596.12,-80.05,948.71,0
242,17,602.56,-80.05,1083.52,0
243,17,394.23,-80.05,625.6,0
244,17,203.8,-80.05,574.98,0
245,17,81.38,-80.05,673.67,0
260,26,195.14532,-80.449005,781.60016,0
261,26,-63.59952,-64.19394,314.12833,0
264,26,871.2107,-80.449005,1046.6807,0
265,26,-22.636478,-80.04557,630.0966,0
267,27,694.65326,-80.049,862.66144,0
269,27,524.68085,-80.049,1046.483,0
271,27,883.4739,-80.049,1002.8264,0
275,32,-2006.7164,-31.6227,97.92605,0
276,32,-1222.4044,-31.62244,-272.65314,0
278,32,-1224.004,-31.609837,-74.57103,0
281,32,-2096.315,-31.622658,-52.75189,0
282,49,-1563,8,-792,-18
283,50,-755,-80,491,-55
284,44,-816.29816,-80.049,292.25903,0
285,44,-1069.6283,-80.04899,504.50558,0
286,44,-838.96954,-80.049,530.6249,0
287,48,-1998.1119,-31.6227,-38.803528,0
288,48,-1582.0569,7.1816,-848.88165,0
289,48,1408.368,63.0147,-1284.4641,0
290,51,-1823,7.31,-728,90
291,52,-978.6831,-80.049,2391.2952,-90
292,45,1286.3582,-79.6485,1676.349,0
293,53,-853.6413,-80.049,844.8069,0
296,53,-902.15137,-80.049,1212.4011,0
297,53,-667.42816,-80.049,1188.8285,0
298,53,-648.9466,-80.049,1380.0457,0
299,53,-870.6642,-80.049,1455.9342,0
305,54,-805.51135,-80.049,1153.5054,0
306,54,-935.362,-80.049,1013.4167,0
307,54,-891.7799,-80.049,1349.0417,0
308,54,-882.6653,-80.049,1685.8326,0
309,54,-966.24475,-80.049,1543.888,0
310,54,-638.91797,-80.049,1243.2523,0
311,54,-937.2272,-80.049,1204.1864,0
312,54,-764.609,-80.049,1481.9093,0
